
[00:00:00.000 --> 00:00:05.480]   The holidays start here at Ralph's with a variety of options to celebrate traditions old and new.
[00:03:08.640 --> 00:03:10.640]   It doesn't seem true at the moment.
[00:03:10.640 --> 00:03:20.640]   Or they will talk about other aspects of traveling inexpensively or travel hacking that I find difficult to implement.
[00:03:20.640 --> 00:03:24.640]   So, for example, paying for flights with credit card points.
[00:03:24.640 --> 00:03:27.640]   This is something that absolutely works.
[00:03:27.640 --> 00:03:31.640]   You absolutely can travel the world on credit card points.
[00:03:31.640 --> 00:03:37.640]   And you can play the credit card game of accumulating those points without increasing your expenditure.
[00:03:37.640 --> 00:03:40.640]   My personal issues come when actually booking the flights.
[00:03:40.640 --> 00:03:42.640]   Remember, I'm booking seven tickets at a time.
[00:03:42.640 --> 00:03:48.640]   And so making those reward travel flights and getting them to work I find much more difficult.
[00:03:48.640 --> 00:03:55.640]   And while I'm still working at it, still trying to figure out how to build those skills, because I have quite a lot of points, I'm still working at it.
[00:03:55.640 --> 00:03:58.640]   But I don't find that to be particularly useful.
[00:03:58.640 --> 00:04:05.640]   I've found that it's better for me to use credit card points on hotel stays because I get more value and it's easier for me to book the rooms that I need.
[00:04:05.640 --> 00:04:07.640]   And that defrays a different cost.
[00:04:07.640 --> 00:04:11.640]   I've also found that airplane travel has just become flat out cheap.
[00:04:11.640 --> 00:04:18.640]   Again, it's never been cheaper than it is today to travel the world if you know what you're doing and if you have a mindset that works.
[00:04:18.640 --> 00:04:20.640]   So here is my advice.
[00:04:20.640 --> 00:04:23.640]   There are three rules that you want to keep in mind.
[00:04:23.640 --> 00:04:32.640]   Rule number one, if you want to book inexpensive plane tickets, be flexible on your destination.
[00:04:32.640 --> 00:04:38.640]   Rule number one, if you want to book inexpensive plane tickets, be flexible on your destination.
[00:04:38.640 --> 00:04:45.640]   Rule number two, if you want to book inexpensive plane tickets, be flexible on your dates of travel.
[00:04:45.640 --> 00:04:48.640]   Be flexible on your dates of travel.
[00:04:48.640 --> 00:04:52.640]   And rule number three, pack lightly.
[00:04:52.640 --> 00:04:54.640]   Let's unpack these a little bit.
[00:04:54.640 --> 00:05:00.640]   When I give you these rules, we're talking in a perfect ideal scenario.
[00:05:00.640 --> 00:05:03.640]   None of us are in that perfect ideal scenario.
[00:05:03.640 --> 00:05:06.640]   I might say to you, be flexible on your destination.
[00:05:06.640 --> 00:05:13.640]   But if I give you a list of cities of the world, there are some cities that you want to go to and some cities you have no interest in going to.
[00:05:13.640 --> 00:05:23.640]   So you're going to break these rules on occasion, but if you'll keep them in mind, you'll get much more bang for your travel buck than if you systematically ignore them.
[00:05:23.640 --> 00:05:27.640]   The most important are the first two, although all three are important.
[00:05:27.640 --> 00:05:29.640]   Be flexible on your destination.
[00:05:29.640 --> 00:05:31.640]   Remember this.
[00:05:31.640 --> 00:05:37.640]   You might have a long list of places that you want to go, but you don't have to go to all of them this year.
[00:05:37.640 --> 00:05:48.640]   So what you should do is look around the world of airplane prices and see where it's inexpensive to travel to during some dates that work for you.
[00:05:48.640 --> 00:05:56.640]   My simple rule that I learned from Clark Howard years ago is find out where it's cheap to go and then figure out what to do there.
[00:05:56.640 --> 00:06:05.640]   And if you follow that rule, find out where it's cheap to go and then figure out what to do there, then you will go much farther for less.
[00:06:05.640 --> 00:06:13.640]   At its core, most travel destinations involve pretty much the same set of experiences and activities.
[00:06:13.640 --> 00:06:19.640]   If we're going to be very cynical, you're going to go from place to place and stare at your phone screen.
[00:06:19.640 --> 00:06:23.640]   There was a comic I saw years ago, "Where are we going to go this weekend to stare at our phones?"
[00:06:23.640 --> 00:06:25.640]   There's a real truth to that.
[00:06:25.640 --> 00:06:30.640]   I travel a lot and I notice that people go from place to place and they stare at their phones.
[00:06:30.640 --> 00:06:35.640]   And you can avoid that. You can turn off the phone and actually experience and enjoy the place.
[00:06:35.640 --> 00:06:39.640]   But at its core, most people have about the same basic set of experiences.
[00:06:39.640 --> 00:06:45.640]   As you travel the world, you'll get a very similar experience, for example, in your hotels.
[00:06:45.640 --> 00:06:52.640]   If you stay at large branded hotels, your experience is going to be very consistent, very systematic.
[00:06:52.640 --> 00:06:58.640]   Because of the massive growth of internationalization, if you want to eat Italian food, you don't only have to go to Italy.
[00:06:58.640 --> 00:07:01.640]   You can eat great Italian food in just about any city of the world.
[00:07:01.640 --> 00:07:08.640]   So it's fine to be flexible with your destinations and embrace the experiences that are offered by that destination.
[00:07:08.640 --> 00:07:13.640]   Instead of thinking you can only get a certain experience in a certain specific place.
[00:07:13.640 --> 00:07:19.640]   And if you'll be flexible in your destinations, you can take advantage of competition.
[00:07:19.640 --> 00:07:24.640]   When you have to go to one specific place for one specific purpose,
[00:07:24.640 --> 00:07:28.640]   then you're limited to whoever is competing on that flight.
[00:07:28.640 --> 00:07:31.640]   Best example here would be business travel.
[00:07:31.640 --> 00:07:37.640]   If you need to be in a certain city, especially if you need to be there at a certain time, which is normal in business travel.
[00:07:37.640 --> 00:07:40.640]   You need to be in this city at this time to attend this conference.
[00:07:40.640 --> 00:07:43.640]   Or you need to be in this city at this time in order to have this meeting.
[00:07:43.640 --> 00:07:50.640]   Or whatever your version of business travel is, then the airline choices that you have and the ticket choices that you have
[00:07:50.640 --> 00:07:57.640]   are constrained by the airlines that are operating those routes to get you there and by their current prices.
[00:07:57.640 --> 00:08:00.640]   So you pay what it costs.
[00:08:00.640 --> 00:08:06.640]   You look around and by the way, stay listening because I'm going to give you some tools that at least help you feel confident that you got the best deal possible.
[00:08:06.640 --> 00:08:10.640]   But you look around and you're pretty much going to pay what they're asking.
[00:08:10.640 --> 00:08:15.640]   But if you have more flexibility, you don't have to be in one specific place,
[00:08:15.640 --> 00:08:21.640]   but rather there's a region you would enjoy visiting or a set of countries or a continent you might enjoy visiting.
[00:08:21.640 --> 00:08:26.640]   Well, now you can be much more flexible and you have access to the much greater competition
[00:08:26.640 --> 00:08:31.640]   because of the many airline choices that are serving those routes.
[00:08:31.640 --> 00:08:36.640]   So if you be flexible on your destination, then you can get lower prices.
[00:08:36.640 --> 00:08:43.640]   Instead of only working with conventional legacy airlines that will have a certain ticket pricing structure,
[00:08:43.640 --> 00:08:49.640]   you may be able to take advantage of budget airlines which have a different way of approaching their ticket structure.
[00:08:49.640 --> 00:08:52.640]   And so you can travel much less expensively.
[00:08:52.640 --> 00:09:01.640]   If you can combine flexibility on destination with flexibility on dates, then you have a massive, massive advantage.
[00:09:01.640 --> 00:09:05.640]   You can be somewhat targeted with your dates.
[00:09:05.640 --> 00:09:12.640]   But if you say to yourself something like, "I'd like to go to Europe this summer or this fall,"
[00:09:12.640 --> 00:09:20.640]   you'll be able to get a much lower ticket price than if you say, "I want to go to Rome and be there on June 27."
[00:09:20.640 --> 00:09:25.640]   So to the extent that you're able to do it, focus on flexibility.
[00:09:25.640 --> 00:09:29.640]   This opens up a couple of major opportunities for you.
[00:09:29.640 --> 00:09:37.640]   When you have a region that you're going to enjoy being in, you can fly in and out of whatever city offers the best deals.
[00:09:37.640 --> 00:09:43.640]   So I look at a lot on the ticket prices between the United States and Europe, especially the United States from South Florida,
[00:09:43.640 --> 00:09:45.640]   because that's where I hail from.
[00:09:45.640 --> 00:09:53.640]   And so there's a low-cost airline that I watch carefully called Norse Atlantic or Norse Airways.
[00:09:53.640 --> 00:09:54.640]   I think it's Norse Atlantic.
[00:09:54.640 --> 00:10:05.640]   And Norse Atlantic is from Norway, and they started off with some routes last year between Oslo and Fort Lauderdale and Oslo and JFK that were stunningly cheap.
[00:10:05.640 --> 00:10:08.640]   They've increased their number of destinations significantly.
[00:10:08.640 --> 00:10:16.640]   Now they have direct flights from Fort Lauderdale to Berlin, Fort Lauderdale to London, and Fort Lauderdale to Oslo.
[00:10:16.640 --> 00:10:19.640]   They also run flights to a bunch of cities, other cities in the United States.
[00:10:19.640 --> 00:10:22.640]   So they came out, and they came out to make a splash.
[00:10:22.640 --> 00:10:31.640]   Now, if you think of Europe, if I know that this airline is running tickets between Florida and London,
[00:10:31.640 --> 00:10:39.640]   and I look at their website and I'm flexible on their dates, then I can just simply choose when they offer some of the cheapest deals.
[00:10:39.640 --> 00:10:43.640]   I was looking at tickets this summer and fall for $200 one-way.
[00:10:43.640 --> 00:10:48.640]   A $200 one-way ticket from the East Coast of the United States to Europe is a great deal.
[00:10:48.640 --> 00:10:55.640]   And if you can take advantage of that, remember, 200 times 7, so $1,400 for a one-way ticket,
[00:10:55.640 --> 00:11:03.640]   that's a big savings versus a simple difference of $500 for a one-way ticket, which wouldn't be in any way an abnormal fare for somebody to pay.
[00:11:03.640 --> 00:11:10.640]   In my case, that takes it from $1,400 to $3,500, huge potential savings.
[00:11:10.640 --> 00:11:13.640]   So that's just the one-way ticket.
[00:11:13.640 --> 00:11:20.640]   So if I know that there's an airline serving this route, and I say, "I'd like to go to Europe,"
[00:11:20.640 --> 00:11:27.640]   and the most important piece to have in place is to have this piece of the first ticket across the Atlantic.
[00:11:27.640 --> 00:11:30.640]   Now, here is a low-cost airline that serves this route.
[00:11:30.640 --> 00:11:36.640]   What is a date and a destination that gets me in the general vicinity of where I want to be?
[00:11:36.640 --> 00:11:41.640]   And I buy the tickets from Fort Lauderdale to London, I've now solved my first basic problem.
[00:11:41.640 --> 00:11:46.640]   From there, because I'm sort of close-ish, I can go in any direction I want.
[00:11:46.640 --> 00:11:53.640]   Once I'm in London, I can take the train, I can take a ferry from the UK to Europe, I can take a train from UK to Europe.
[00:11:53.640 --> 00:11:58.640]   Those prices are not flexible the way that airline prices are.
[00:11:58.640 --> 00:12:03.640]   They're more static, and I can save a lot of money depending on how I approach my train travel,
[00:12:03.640 --> 00:12:06.640]   or I can take one of the low-cost airlines and get all around Europe.
[00:12:06.640 --> 00:12:14.640]   And so I can say, "I'll book the first ticket because here's a cheap ticket from Florida to the UK."
[00:12:14.640 --> 00:12:20.640]   Then I can look at some other destinations and see what's going to get me closer to where I'd like to end up in Spain,
[00:12:20.640 --> 00:12:25.640]   or where I'd like to end up in Norway, and I can schedule those on different dates
[00:12:25.640 --> 00:12:28.640]   and just insert a couple days of sightseeing in between.
[00:12:28.640 --> 00:12:38.640]   And so this flexibility on destination and on dates allows me to have more experiences on a much lower budget.
[00:12:38.640 --> 00:12:44.640]   You can't do that if you need to wind up in a specific city at a specific date,
[00:12:44.640 --> 00:12:48.640]   and you don't have the wiggle room of various days between that.
[00:12:48.640 --> 00:12:56.640]   And so if you'll recognize that you have this option, then it'll open up your horizons for you.
[00:12:56.640 --> 00:12:58.640]   Let me give you another practical example.
[00:12:58.640 --> 00:13:09.640]   I was helping somebody recently who was taking trips, was planning a flight from the United States, from Florida, to Egypt at Christmas time.
[00:13:09.640 --> 00:13:12.640]   And this is a family trip, a bunch of tickets.
[00:13:12.640 --> 00:13:18.640]   The price on it was looking to be about, I think he said about $10,000.
[00:13:18.640 --> 00:13:23.640]   So this is going to be a $10,000 trip because he was constrained on the destination,
[00:13:23.640 --> 00:13:31.640]   needed to go for a family event in Egypt, needed to go at Christmas time, which is an extremely expensive time to be buying airplane tickets,
[00:13:31.640 --> 00:13:39.640]   and was stuck with basically a $10,000 price point for six airplane tickets.
[00:13:39.640 --> 00:13:47.640]   I started working on this and started looking for options, and I inserted just a little bit of flexibility,
[00:13:47.640 --> 00:13:52.640]   and I cut his price in half with a little bit of flexibility.
[00:13:52.640 --> 00:13:56.640]   The little bit of flexibility has to do with what are the options that could get us there?
[00:13:56.640 --> 00:14:03.640]   But instead of booking a direct flight or as direct of a flight as possible to go from Miami to Cairo in one day,
[00:14:03.640 --> 00:14:07.640]   how can we insert just a little bit of flexibility?
[00:14:07.640 --> 00:14:14.640]   And so once again, North Atlantic Airways, inexpensive ticket for a couple hundred dollars from Florida to London.
[00:14:14.640 --> 00:14:21.640]   Then I inserted a day of sightseeing in London, took a train ride from London to Paris, accounted for the cost of that.
[00:14:21.640 --> 00:14:25.640]   That's an interesting experience. Put in a day or two in Paris,
[00:14:25.640 --> 00:14:30.640]   and I think there was a low cost of Welling flight from Paris to Cairo, if memory is correct.
[00:14:30.640 --> 00:14:39.640]   And then on the way back, there was no real time constraint available, so there was a fairly direct flight.
[00:14:39.640 --> 00:14:45.640]   But this time we flew back on a deal from Air Morocco through Morocco,
[00:14:45.640 --> 00:14:48.640]   instead of one of the other carriers that was going in another direction.
[00:14:48.640 --> 00:14:53.640]   The total ticket prices dropped from about $10,000 to $5,000,
[00:14:53.640 --> 00:14:59.640]   including, by the way, the hotel stays for those four or five days of travel on the way there.
[00:14:59.640 --> 00:15:04.640]   Now, I don't know whether that itinerary works for him or not, but it's a good exercise to say,
[00:15:04.640 --> 00:15:11.640]   here's some place that we need to get to. In this case, we need to get to Cairo for a specific event on a specific date.
[00:15:11.640 --> 00:15:17.640]   But if we can introduce a little more flexibility on the destination and the timing by adding a few days at the front end, etc.,
[00:15:17.640 --> 00:15:20.640]   then we can potentially save thousands of dollars,
[00:15:20.640 --> 00:15:26.640]   which makes a big difference in the activities and the numbers of things that you can do at your final destination.
[00:15:26.640 --> 00:15:36.640]   And so your tools are not gimmicks. It's playing around with destination, dates, and then we'll get to packing light in just a moment.
[00:15:36.640 --> 00:15:44.640]   Whenever you have a place that you want to go, start looking around and figure out when it's the least expensive to go to that place.
[00:15:44.640 --> 00:15:47.640]   Think about what flexibility you have with dates.
[00:15:47.640 --> 00:15:56.640]   And if you have maximum flexibility on location and dates, then you'll get maximum number of destinations traveled for every dollar spent.
[00:15:56.640 --> 00:16:00.640]   Let's talk about packing light, and then I'll cover some of the tools as well.
[00:16:00.640 --> 00:16:07.640]   We are fortunate to have lived through a revolution of budget airlines.
[00:16:07.640 --> 00:16:12.640]   I am so grateful to live in this world of budget airlines.
[00:16:12.640 --> 00:16:20.640]   I'm also very grateful that there continue to be options of legacy carriers, that continue to be options of private air travel, etc.
[00:16:20.640 --> 00:16:22.640]   The more competition, the better.
[00:16:22.640 --> 00:16:31.640]   But I'm grateful that budget airlines exist because what budget airlines have done is unbundled all of the costs of flying.
[00:16:31.640 --> 00:16:37.640]   And because they've unbundled these things, they allow you to purchase exactly what you want and exactly what you need.
[00:16:37.640 --> 00:16:40.640]   And as a consumer, I like having that choice.
[00:16:40.640 --> 00:16:45.640]   I have purchased very inexpensive tickets, and I have purchased very expensive tickets.
[00:16:45.640 --> 00:16:53.640]   And it all depends on the trip, the route, and what I need for myself and for my family at that particular time.
[00:16:53.640 --> 00:16:58.640]   And so I owe a great debt of gratitude to budget airlines.
[00:16:58.640 --> 00:17:04.640]   But the big thing that budget airlines have changed in the travel business has to do with the cost of included baggage.
[00:17:04.640 --> 00:17:13.640]   Traditionally, you had a personal item, a carry-on bag included with your ticket, and one or two or sometimes three checked bags included with your ticket.
[00:17:13.640 --> 00:17:18.640]   And you can still get those tickets, especially on legacy airlines on international flights.
[00:17:18.640 --> 00:17:31.640]   But today, if you are carrying a lot of baggage, frequently you will pay as much or more for your bags to fly than for you yourself to fly.
[00:17:31.640 --> 00:17:47.640]   And so if you have the skill of traveling lightly, then not only do I think you can have a better experience, meaning that you're more mobile, less weighed down, less encumbered, but you will save quite a lot of money.
[00:17:47.640 --> 00:18:04.640]   The ultimate expression of this is to travel with one small personal item size bag, because this brings together the ultimate ability of flexibility with your flexibility on destination and dates with your light packing.
[00:18:04.640 --> 00:18:10.640]   This is my favorite way to travel when sightseeing, when doing tourist things, etc.
[00:18:10.640 --> 00:18:18.640]   We'll get to where this doesn't work in a moment, but when you're going sightseeing, if at all possible, I would always rather travel with a very light backpack.
[00:18:18.640 --> 00:18:26.640]   And when I say light backpack, I'm not talking about a hiker backpack, like you see backpackers all around the world, big, giant 45-liter bag.
[00:18:26.640 --> 00:18:36.640]   I'm talking about a school book bag, a Jansport, a 16, a 20, a 26-liter bag, something in those range, where you can just wear it all the time and not notice.
[00:18:36.640 --> 00:18:44.640]   This gives you the ultimate flexibility because it allows you to be spontaneous and it allows you to be maximally flexible even on your transportation.
[00:18:44.640 --> 00:18:52.640]   You can go to the airport, you can jump on the public bus, you can grab the tram, you can grab a train ticket when you see a train ticket available.
[00:18:52.640 --> 00:19:00.640]   When you always just have a small bag with you, then you can go from city to city, from hotel to hotel, and you can be flexible on your other costs as well.
[00:19:00.640 --> 00:19:06.640]   Things like hotels, flexibility makes a big, big difference. But if you have a bunch of luggage, you're not going to go on an itinerary.
[00:19:06.640 --> 00:19:12.640]   I frequently, when I travel, I'll buy a one-way ticket, and I do this, again, with children, not always, but frequently.
[00:19:12.640 --> 00:19:16.640]   I'll buy a one-way ticket to a destination, we'll travel with very light luggage.
[00:19:16.640 --> 00:19:21.640]   When I'm there, I have a basic idea of what the costs of that region are.
[00:19:21.640 --> 00:19:25.640]   The costs of London are very different from the costs of Kuala Lumpur.
[00:19:25.640 --> 00:19:32.640]   So I'll have an idea of what the regional costs are, what I'm going to expect to pay, but I won't pre-book anything.
[00:19:32.640 --> 00:19:38.640]   I'll just go as we go, and we'll do our trip, and because I have maximal flexibility on dates,
[00:19:38.640 --> 00:19:45.640]   I don't have a job where I have to apply for a certain number of vacation days, and I have to be back at work on July 1, all of my scheduling is self-imposed.
[00:19:45.640 --> 00:19:52.640]   Then it gives me the ability to go on the trip, and as we start to get to the end of the trip, I look around, I figure out the return flight,
[00:19:52.640 --> 00:19:59.640]   I figure out where it's going to go, where I need to wind up to wind up home, and then I'll be very flexible on the dates.
[00:19:59.640 --> 00:20:05.640]   I have a variety of options that I'll insert depending on what the trip holds.
[00:20:05.640 --> 00:20:12.640]   But a big component of that is the ability to travel light, to not be encumbered with two giant suitcases for each person.
[00:20:12.640 --> 00:20:15.640]   When you do that, all of the logistics become very difficult.
[00:20:15.640 --> 00:20:18.640]   You can't use public transportation, you have to use private transportation,
[00:20:18.640 --> 00:20:26.640]   you spend so much time and so much work carrying your stuff around that the idea of changing hotels is dreadfully unpleasant.
[00:20:26.640 --> 00:20:28.640]   And then obviously there's the cost savings.
[00:20:28.640 --> 00:20:33.640]   If you only have a small personal item, think Ryanair bag at the most extreme.
[00:20:33.640 --> 00:20:38.640]   If you've got a Ryanair personal item size bag, then you can get on any flight anywhere,
[00:20:38.640 --> 00:20:44.640]   and you never pay any extra luggage tickets if you have a small light bag.
[00:20:44.640 --> 00:20:46.640]   That is a skill that can be developed.
[00:20:46.640 --> 00:20:49.640]   It's a very useful skill, but it's a skill that can be developed.
[00:20:49.640 --> 00:20:52.640]   The skill involves a couple of basic components.
[00:20:52.640 --> 00:20:57.640]   Number one, you start with your desire, and then you start to practice letting go of things.
[00:20:57.640 --> 00:21:00.640]   And that's mainly in your head.
[00:21:00.640 --> 00:21:04.640]   It's something that you can practice, but it's something that you have to get over in your head.
[00:21:04.640 --> 00:21:06.640]   There's no external reality here.
[00:21:06.640 --> 00:21:12.640]   It's a matter of you, in your mind, being comfortable with not having tons and tons of stuff.
[00:21:12.640 --> 00:21:18.640]   Being comfortable with the idea that if I need this, I go and buy it, or if I need this, I do without,
[00:21:18.640 --> 00:21:22.640]   or if I need this, I change my itinerary or my activity for the day.
[00:21:22.640 --> 00:21:26.640]   Instead of going, you know, for me, the big thing is shoes.
[00:21:26.640 --> 00:21:33.640]   I have very large feet, size 16, American-sized shoes, so it's very difficult for me to find shoes when I travel.
[00:21:33.640 --> 00:21:36.640]   And shoes take up an enormous amount of space.
[00:21:36.640 --> 00:21:38.640]   And so for years I wrestled with it.
[00:21:38.640 --> 00:21:45.640]   Okay, well, I need just a minimum number of pairs of shoes, but there is no one size or one shoe model fits all circumstances.
[00:21:45.640 --> 00:21:53.640]   I can't simultaneously have a shoe that's very comfortable when I'm wading in the sand or walking up a river while whitewater rafting
[00:21:53.640 --> 00:22:01.640]   and simultaneously be at the nice club downtown at the 52nd floor of the hotel and fit in in both of those circumstances.
[00:22:01.640 --> 00:22:03.640]   And so you make certain tradeoffs.
[00:22:03.640 --> 00:22:08.640]   You might have a certain style of shoe and you may not be able to go on the whitewater rafting trip,
[00:22:08.640 --> 00:22:14.640]   or you may have to go barefoot, or you may have to buy something, or you may not be able to go into the nice hotel lounge.
[00:22:14.640 --> 00:22:17.640]   There are just simply a set of tradeoffs that you have to be comfortable with.
[00:22:17.640 --> 00:22:19.640]   So a lot of that is in your mind.
[00:22:19.640 --> 00:22:22.640]   And it's also there's a skill in terms of testing it.
[00:22:22.640 --> 00:22:26.640]   And so when I first started traveling when I was in my teens, I was a very heavy packer,
[00:22:26.640 --> 00:22:31.640]   and I would make packing lists, follow them, and I would keep an eye on what did I use, what did I not use.
[00:22:31.640 --> 00:22:39.640]   And gradually I got to less and less and less stuff until the point I don't even know how much luggage I travel with right now
[00:22:39.640 --> 00:22:43.640]   because it's often integrated with all my children and everything.
[00:22:43.640 --> 00:22:53.640]   But I can comfortably travel indefinitely as long as I don't need to bring a lot of tech gear, which is kind of a separate component.
[00:22:53.640 --> 00:23:03.640]   I can comfortably travel indefinitely with what fits into a small, you know, picture a school book bag, a small 20 or 16 liter bag.
[00:23:03.640 --> 00:23:05.640]   And that's really comfortable.
[00:23:05.640 --> 00:23:11.640]   It's not perfect, but just do the skill of sometimes I'm a little uncomfortable because I don't have all the gear that I could have,
[00:23:11.640 --> 00:23:21.640]   but I would rather be a little bit uncomfortable in those circumstances than I would desire to not be on the trip at all
[00:23:21.640 --> 00:23:24.640]   or to be weighed down with a lot of heavy luggage.
[00:23:24.640 --> 00:23:28.640]   Now, what are the constraints that will make it not possible for you to travel lightly?
[00:23:28.640 --> 00:23:32.640]   Well, first, there'll be certain purposes or reasons behind a trip.
[00:23:32.640 --> 00:23:38.640]   If you're going to a specific place for a specific event, you need to be dressed for the trip.
[00:23:38.640 --> 00:23:40.640]   You might have to bring a variety of outfits.
[00:23:40.640 --> 00:23:44.640]   You might need to bring a -- you might be hired as the emcee of an event,
[00:23:44.640 --> 00:23:48.640]   and so you can't get by with one suit worn every single day.
[00:23:48.640 --> 00:23:52.640]   You might need to bring three or four, and so there you're definitely going to need more baggage.
[00:23:52.640 --> 00:23:57.640]   You might be going on a work trip, and so you can't get away with traveling without a laptop.
[00:23:57.640 --> 00:24:04.640]   On the other hand, you need a laptop, and you need a camera, and you need podcasting microphones and equipment and lights.
[00:24:04.640 --> 00:24:09.640]   But when that's the purpose of the trip, then obviously that's a necessary component.
[00:24:09.640 --> 00:24:12.640]   So you'll have the bags, have the luggage, and you'll deal with it.
[00:24:12.640 --> 00:24:19.640]   But at its core, if you want inexpensive plane tickets, be flexible on destination, be flexible on dates, and pack light.
[00:24:19.640 --> 00:24:26.640]   Assuming that's the case, assuming you've got this great scenario where someone asks you, "Where do you want to go?"
[00:24:26.640 --> 00:24:28.640]   And you say, "Everywhere."
[00:24:28.640 --> 00:24:31.640]   And you say -- and when someone says, "When do you want to go there?"
[00:24:31.640 --> 00:24:34.640]   And you say, "It doesn't really much matter. One day is as good as another.
[00:24:34.640 --> 00:24:39.640]   I've got total flexibility over my time and schedule and location, et cetera, and I'm ready to go now."
[00:24:39.640 --> 00:24:42.640]   If that's the case, where do you start?
[00:24:42.640 --> 00:24:45.640]   So there are a variety of tools that are really useful.
[00:24:45.640 --> 00:24:47.640]   I'm going to give you five.
[00:24:47.640 --> 00:24:49.640]   I could give you two.
[00:24:49.640 --> 00:25:00.640]   If you were only looking for two tools, then at this point, I think your two tools would be Google Flights and flightsfrom.com.
[00:25:00.640 --> 00:25:06.640]   But I'm going to give you more options because they each have their little tweaks, and I use all of them.
[00:25:06.640 --> 00:25:10.640]   First, Google Flights has gotten very, very good.
[00:25:10.640 --> 00:25:12.640]   It wasn't so great in the past.
[00:25:12.640 --> 00:25:16.640]   I now find it to be very, very good.
[00:25:16.640 --> 00:25:25.640]   So if you go to flights.google.com, you can see a huge number of flight options, and there are some very, very useful tools.
[00:25:25.640 --> 00:25:30.640]   I think many people who use Google Flights use it in the conventional way.
[00:25:30.640 --> 00:25:36.640]   I want to go from this airport to this airport on these dates, and it's useful.
[00:25:36.640 --> 00:25:40.640]   It gives you good options for those dates and for those functions.
[00:25:40.640 --> 00:25:49.640]   What I find to be the most useful feature of Google Flights is, in some cases, the Explore tab, which we'll get to in a moment,
[00:25:49.640 --> 00:25:57.640]   and also the one-way tickets itinerary from different city combinations, including states or areas.
[00:25:57.640 --> 00:26:03.640]   So the ability to search by state or country or area is really, really useful.
[00:26:03.640 --> 00:26:09.640]   In the past, I found that I got better results with kiwi.com and also kayak.com,
